Time,CW_change_mm,UHSLCFD_change_mm
1851-01-16,,
1851-04-16,,
1851-07-16,,
1851-10-16,,
1852-01-16,,
1852-04-16,,
1852-07-16,,
1852-10-16,,
1853-01-16,,
1853-04-16,,
1853-07-16,,
1853-10-16,,
1854-01-16,,
1854-04-16,,
1854-07-16,,
1854-10-16,,
1855-01-16,,
1855-04-16,,
1855-07-16,,
1855-10-16,,
1856-01-16,,
1856-04-16,,
1856-07-16,,
1856-10-16,,
1857-01-16,,
1857-04-16,,
1857-07-16,,
1857-10-16,,
1858-01-16,,
1858-04-16,,
1858-07-16,,
1858-10-16,,
1859-01-16,,
1859-04-16,,
1859-07-16,,
1859-10-16,,
1860-01-16,,
1860-04-16,,
1860-07-16,,
1860-10-16,,
1861-01-16,,
1861-04-16,,
1861-07-16,,
1861-10-16,,
1862-01-16,,
1862-04-16,,
1862-07-16,,
1862-10-16,,
1863-01-16,,
1863-04-16,,
1863-07-16,,
1863-10-16,,
1864-01-16,,
1864-04-16,,
1864-07-16,,
1864-10-16,,
1865-01-16,,
1865-04-16,,
1865-07-16,,
1865-10-16,,
1866-01-16,,
1866-04-16,,
1866-07-16,,
1866-10-16,,
1867-01-16,,
1867-04-16,,
1867-07-16,,
1867-10-16,,
1868-01-16,,
1868-04-16,,
1868-07-16,,
1868-10-16,,
1869-01-16,,
1869-04-16,,
1869-07-16,,
1869-10-16,,
1870-01-16,,
1870-04-16,,
1870-07-16,,
1870-10-16,,
1871-01-16,,
1871-04-16,,
1871-07-16,,
1871-10-16,,
1872-01-16,,
1872-04-16,,
1872-07-16,,
1872-10-16,,
1873-01-16,,
1873-04-16,,
1873-07-16,,
1873-10-16,,
1874-01-16,,
1874-04-16,,
1874-07-16,,
1874-10-16,,
1875-01-16,,
1875-04-16,,
1875-07-16,,
1875-10-16,,
1876-01-16,,
1876-04-16,,
1876-07-16,,
1876-10-16,,
1877-01-16,,
1877-04-16,,
1877-07-16,,
1877-10-16,,
1878-01-16,,
1878-04-16,,
1878-07-16,,
1878-10-16,,
1879-01-16,,
1879-04-16,,
1879-07-16,,
1879-10-16,,
1880-01-16,,
1880-04-16,-183.3140625,
1880-07-16,-183.247395833,
1880-10-16,-174.147395833,
1881-01-16,-159.680729167,
1881-04-16,-172.4140625,
1881-07-16,-174.0140625,
1881-10-16,-186.047395833,
1882-01-16,-189.480729167,
1882-04-16,-184.2140625,
1882-07-16,-190.080729167,
1882-10-16,-202.547395833,
1883-01-16,-204.380729167,
1883-04-16,-192.480729167,
1883-07-16,-185.147395833,
1883-10-16,-179.8140625,
1884-01-16,-166.6140625,
1884-04-16,-158.980729167,
1884-07-16,-166.280729167,
1884-10-16,-174.5140625,
1885-01-16,-173.347395833,
1885-04-16,-166.6140625,
1885-07-16,-167.680729167,
1885-10-16,-166.580729167,
1886-01-16,-171.1140625,
1886-04-16,-164.080729167,
1886-07-16,-164.2140625,
1886-10-16,-178.980729167,
1887-01-16,-184.180729167,
1887-04-16,-180.780729167,
1887-07-16,-170.2140625,
1887-10-16,-171.880729167,
1888-01-16,-175.880729167,
1888-04-16,-177.7140625,
1888-07-16,-172.6140625,
1888-10-16,-170.4140625,
1889-01-16,-171.080729167,
1889-04-16,-167.980729167,
1889-07-16,-169.7140625,
1889-10-16,-177.147395833,
1890-01-16,-176.547395833,
1890-04-16,-160.7140625,
1890-07-16,-166.980729167,
1890-10-16,-175.280729167,
1891-01-16,-186.480729167,
1891-04-16,-171.0140625,
1891-07-16,-167.7140625,
1891-10-16,-168.2140625,
1892-01-16,-167.547395833,
1892-04-16,-163.4140625,
1892-07-16,-167.580729167,
1892-10-16,-176.080729167,
1893-01-16,-170.8140625,
1893-04-16,-160.847395833,
1893-07-16,-162.980729167,
1893-10-16,-164.480729167,
1894-01-16,-170.080729167,
1894-04-16,-173.2140625,
1894-07-16,-176.880729167,
1894-10-16,-177.0140625,
1895-01-16,-161.1140625,
1895-04-16,-166.047395833,
1895-07-16,-163.147395833,
1895-10-16,-158.747395833,
1896-01-16,-171.447395833,
1896-04-16,-172.880729167,
1896-07-16,-160.3140625,
1896-10-16,-169.847395833,
1897-01-16,-173.380729167,
1897-04-16,-162.480729167,
1897-07-16,-152.147395833,
1897-10-16,-168.947395833,
1898-01-16,-169.247395833,
1898-04-16,-147.947395833,
1898-07-16,-157.1140625,
1898-10-16,-155.6140625,
1899-01-16,-150.580729167,
1899-04-16,-149.880729167,
1899-07-16,-151.680729167,
1899-10-16,-140.080729167,
1900-01-16,-150.3140625,
1900-04-16,-151.780729167,
1900-07-16,-152.047395833,
1900-10-16,-155.380729167,
1901-01-16,-155.447395833,
1901-04-16,-156.580729167,
1901-07-16,-156.547395833,
1901-10-16,-147.480729167,
1902-01-16,-145.580729167,
1902-04-16,-150.780729167,
1902-07-16,-153.7140625,
1902-10-16,-145.4140625,
1903-01-16,-144.8140625,
1903-04-16,-134.6140625,
1903-07-16,-138.347395833,
1903-10-16,-145.7140625,
1904-01-16,-144.780729167,
1904-04-16,-147.747395833,
1904-07-16,-152.247395833,
1904-10-16,-155.080729167,
1905-01-16,-160.547395833,
1905-04-16,-160.8140625,
1905-07-16,-154.4140625,
1905-10-16,-150.8140625,
1906-01-16,-154.947395833,
1906-04-16,-150.4140625,
1906-07-16,-146.847395833,
1906-10-16,-148.980729167,
1907-01-16,-151.147395833,
1907-04-16,-147.280729167,
1907-07-16,-147.380729167,
1907-10-16,-157.047395833,
1908-01-16,-154.480729167,
1908-04-16,-153.947395833,
1908-07-16,-149.6140625,
1908-10-16,-156.480729167,
1909-01-16,-152.3140625,
1909-04-16,-146.3140625,
1909-07-16,-152.780729167,
1909-10-16,-148.647395833,
1910-01-16,-150.847395833,
1910-04-16,-150.947395833,
1910-07-16,-146.3140625,
1910-10-16,-148.7140625,
1911-01-16,-149.147395833,
1911-04-16,-144.080729167,
1911-07-16,-141.380729167,
1911-10-16,-133.580729167,
1912-01-16,-142.947395833,
1912-04-16,-149.680729167,
1912-07-16,-142.647395833,
1912-10-16,-141.080729167,
1913-01-16,-142.047395833,
1913-04-16,-150.2140625,
1913-07-16,-140.3140625,
1913-10-16,-136.1140625,
1914-01-16,-137.547395833,
1914-04-16,-139.647395833,
1914-07-16,-143.6140625,
1914-10-16,-132.180729167,
1915-01-16,-108.747395833,
1915-04-16,-124.2140625,
1915-07-16,-135.947395833,
1915-10-16,-136.347395833,
1916-01-16,-129.580729167,
1916-04-16,-125.580729167,
1916-07-16,-134.780729167,
1916-10-16,-132.6140625,
1917-01-16,-127.780729167,
1917-04-16,-137.380729167,
1917-07-16,-134.480729167,
1917-10-16,-135.680729167,
1918-01-16,-134.4140625,
1918-04-16,-138.547395833,
1918-07-16,-135.7140625,
1918-10-16,-134.147395833,
1919-01-16,-141.047395833,
1919-04-16,-138.380729167,
1919-07-16,-128.480729167,
1919-10-16,-130.780729167,
1920-01-16,-138.3140625,
1920-04-16,-134.8140625,
1920-07-16,-127.180729167,
1920-10-16,-133.780729167,
1921-01-16,-131.9140625,
1921-04-16,-126.8140625,
1921-07-16,-129.547395833,
1921-10-16,-136.547395833,
1922-01-16,-131.947395833,
1922-04-16,-129.880729167,
1922-07-16,-133.647395833,
1922-10-16,-134.747395833,
1923-01-16,-128.580729167,
1923-04-16,-126.5140625,
1923-07-16,-129.547395833,
1923-10-16,-134.280729167,
1924-01-16,-138.7140625,
1924-04-16,-136.380729167,
1924-07-16,-138.980729167,
1924-10-16,-139.0140625,
